,IDENTITE FOURNISSEUR,,,,,,,,,,,,,,,,,,,FICHE METIER,,,,,,,,,,,,,CONTACT FOURNISSEUR,,,,,,,,,,,,,,NDA,METADONNEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DONNEES RISQUE PHYSIQUE,,,,,,,,,,,,,,DONNEES RISQUE TRANSITION,,,,,,,,,,DONNEES  RSE,,,Autre,,,DATAQUALITY CONCLUSION,,,,,
Suivi avancement remplissage,#,ID,Nom du fournisseur,Description fournisseur,Site internet du fournisseur,Nombre de base de données / fournisseur,Localisation du siege social,Zone d'activité,Activité,Année de Création ,Chiffre d'affaires,Effectif,Public / Privé ?,Forme juridique,Affiliation,Nom de la base,Description base de données,Priorité,Complexité d'accès,Modalités de collecte des données,Open Data ? (O/N),Abonnement?,Périmètre géographique,Provenance données ,Type risque,Top_Référentiel,Top_Risque_Physique,Top_Risque_Transition,Top_Risque_RSE,Top_ESG,Top_Autre,Données de projection ? (O/N),Site internet générique ou lien vers la base,Exemples d'utilisations & lien (échantillon ?),Contact,poste du contact,Adresse,Téléphone,Email,Premier contact pris le ?,Second rdv commercial pris le ?,Resp. DE,Resp. bench,Etat d'avancement global,Echantillon envoyé (0/N) ?,CCL,NDA (O/N),Responsable analyse,Téléchargé?,Analysé?,Dictionnaire de données créé?,Format de la base de données,API?,Top_xls/csv,Top_JSON,Top_GeoJSON,Top_Shapefile,Top_Autre_format,Taille des fichiers,# colonnes,# observations,Type,Données brutes? (O / N),Indicateurs (O/N),Score ou notation (O/N),Date dernière MaJ de la base de données,Fréquence MaJ,Donnée géographique ? (O/N),Périmètre géographique,Granularité,Séries temporelles?,Début data,Fin data,Méthodologie fournie ?,Dictionnaire des données ?,Dictionnaire des modalités ?,Commentaires,Top_Inondation,Top_tempête,Top_cyclone,Top_foudre_grêle,Top_secheresse,Top_feu,Top_temperature_extreme,Top_sol_argile,Top_étiage,Top_biodiverisité,Top_littoral,Top_stress hydrique,Top_froid extrême,Top_Gestion_de_l'eau,Top_carbonne,Top_Scope1,Top_Scope2,Top_Scope3,Top_petrole,Top_gaz,Top_electricité,Top_Eolien,Top_Solaire,Top_performance_energetique,Top_RSE,Top_Indicateur_Macroéconomie,Top_secteur_activite,Top_retail,Top_souverain,Top_corporate,DATAQUALITY,Top_complétude,Top_valeur_aberante,TOP_INTELLIGIBLE,...,Commentaire
64.60%,1,,2° Investing Initiative (2DII),"The 2° Investing Initiative (2°ii) is the global think tank for developing climate and long-term risk metrics and related policy options in financial markets
Aligner les marchés et les réglementations financières sur les objectifs de l'accord de Paris",https://2degrees-investing.org/,3,France,France,Recherche-développement en autres sciences physiques et naturelles,2012,But non lucratif,6 à 9 salariés,Public,Association,NC,Changing colors,This paper seeks to explore the question of adaptive capacity of companies to financial risks that may arise in the context of the transition to a low-carbon economy,Basse,Moyenne,Open Data,1,0,,,Physique,N,O,N,N,N,N,N,http://tragedyofthehorizon.com/2ii_Adaptive%20Capacity_v0.pdf,https://datasets.wri.org/dataset,Sans objet,Sans objet,"15 rue des Halles
75001 Paris",NC,contact@2degrees-investing.org,Sans objet,Sans objet,Sans objet,Sans objet,Fini,Sans objet,Sans objet,Open Data,Soukaina Tazrouti,O,O,O,Xls,,O,,,,,,,,Rapport,,,,,,N,"35 000 centrales électriques dans 167 pays, ce qui représente environ 72 % de la capacité mondiale.",Pays,,,,O,O,O,,,,,,,,,,,,,,,,O,,,,N,O,O,O,O,O,N,N,,N,N,N,OK,OK,OK,VIDE,,
38.05%,2,,2° Investing Initiative (2DII),"The 2° Investing Initiative (2°ii) is the global think tank for developing climate and long-term risk metrics and related policy options in financial markets
Aligner les marchés et les réglementations financières sur les objectifs de l'accord de Paris",https://2degrees-investing.org/,3,France,France,Recherche-développement en autres sciences physiques et naturelles,2012,But non lucratif,6 à 9 salariés,Public,Association,NC,Transition Risk Toolbox,"The report references transition scenarios, data and models tailored for financial risk and scenario analysis by companies, equity and credit research analyst and financial institution",Basse,Moyenne,Open Data,1,0,,,,,,,,,,N,https://2degrees-investing.org/resource/transition-risk-toolbox/,https://datasets.wri.org/dataset,Sans objet,Sans objet,"15 rue des Halles
75001 Paris",NC,contact@2degrees-investing.org,Sans objet,Sans objet,Sans objet,Sans objet,Fini,Sans objet,Sans objet,Open Data,Soukaina Tazrouti,N,N,N,,,,,,,,,,,Rapport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
38.05%,3,,2° Investing Initiative (2DII),"The 2° Investing Initiative (2°ii) is the global think tank for developing climate and long-term risk metrics and related policy options in financial markets
Aligner les marchés et les réglementations financières sur les objectifs de l'accord de Paris",https://2degrees-investing.org/,3,France,France,Recherche-développement en autres sciences physiques et naturelles,2012,But non lucratif,6 à 9 salariés,Public,Association,NC,Transition Risk-O-meter,"The report references transition scenarios tailored for financial risk and scenario analysis by companies, equity and credit research analyst and financial institution /",Basse,Moyenne,Open Data,1,0,,,,,,,,,,N,http://et-risk.eu/the-transition-risk-o-meter/,https://datasets.wri.org/dataset,Sans objet,Sans objet,"15 rue des Halles
75001 Paris",NC,contact@2degrees-investing.org,Sans objet,Sans objet,Sans objet,Sans objet,Fini,Sans objet,Sans objet,Open Data,Soukaina Tazrouti,N,N,N,,,,,,,,,,,Rapport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
23.01%,4,,Acclimatise,Acclimatise is a specialist advisory and analytics company providing world-class expertise in climate change adaptation and risk management,http://www.acclimatise.uk.com/,1,UK,Monde,secteur d'activité du conseil et d'analyse de données (logiciels),2004,NC,40 000 salariés,Privé,Organisme,,Aware (model),,Basse,,Abonnement,0,1,,,,N,,,,,,N,http://www.acclimatise.uk.com/,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
41.59%,5,,ACPR,"En France, le contrôle des banques et des assurances est exercé par l’Autorité de contrôle prudentiel et de résolution (ACPR). L’ACPR est une autorité administrative dont le code monétaire et financier établit l’indépendance pour l’exercice de ses missions et l’autonomie financière. Pour son fonctionnement, l’ACPR est adossée à la Banque de France, qui lui procure ses moyens, notamment humains et informatiques.
L’ACPR assure en outre, pour l’ensemble du secteur financier (banque et assurance) :
- le contrôle du respect des dispositifs de lutte contre le blanchiment des capitaux et le financement du terrorisme,
- ainsi que la protection de la clientèle ",https://acpr.banque-france.fr/,1,France,France,Administration publique générale,2010,600k,compris entre 500 et 1000 salariés,Public,"Administration de l'Etat, autorité administrative indépendante",Banque de France,,"1) La publication inclut des données statistiques sur le secteur bancaire, le risque de crédit, le risque opérationnel, le risque de marché, et les actions et mesures de supervision.
2) Rapport Commun ACPR - AMF",Moyenne,Basse,Open Data,1,0,,,Physique / Transition  ,N,O,O,N,N,N,N,,"1) https://acpr.banque-france.fr/europe-et-international/banques/transparence-du-regulateur/donnees-statistiques
 
 2) https://acpr.banque-france.fr/sites/default/files/medias/documents/20201218_rapport_vf.pdf",Sans objet,Sans objet,Sans objet,standard +(33)  01 49 95 40 00,Sans objet,Sans objet,Sans objet,Tom Popa,Florian Renault,Fini,Sans objet,Sans objet,Open Data,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
99.12%,6,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,ACT  (Assessing low-Carbon Transition),"ACT (Assessing low Carbon Transition) est une méthodologie d’évaluation de la stratégie des entreprises vis à vis des exigences d'un monde bas carbone. Reconnue à l’international, elle a été développée par l’ADEME et le CDP.",Basse,Elevée,Open Data,1,0,France,Statistiques officielles,Transition,O,N,O,N,N,N,N,https://www.bilans-ges.ademe.fr/fr/accueil/contenu/index/page/ACT2/siGras/0,"Définition d’une stratégie climatique bas carbone 

Données sectorielles 
https://actinitiative.org/resources-2/ ","EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Cyril Regnier,Guillaume Sevellec,Fini,Sans objet,Formation,Open Data,Sans objet,N,N,N,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Formation,N,N,N,Sans objet,Sans objet,N,Sans objet,Sans objet,N,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans commentaire,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet
93.81%,7,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,Agribalyse,"Ce fichier contient les données AGRIBALYSE3.0 pour les produits alimentaires consommés en France. Ces données ont vocation à contribuer à la transition environnementale des systèmes agricoles et alimentaires.  Ces données sont fondées sur la méthode de l’Analyse du Cycle de Vie (ACV), qui fournit des indicateurs d’impacts environnementaux des produits, incluant toutes les étapes (du champ à l’assiette) et les différents enjeux (climat, eau, air, sol…).  Elles sont construites à partir d'un certains nombres d'hypothèses et selon un cadre méthodologique précis. Ces données scientifiques nécessitent d'être adaptées en fonction de leur contexte et des utilisateurs. Il est nécessaire de prendre connaissance du ""Guide d'utilisateur"" pour éviter les contre-sens ou des usages inadaptés. Plus largement une large documentation est disponible et garantie la transparence des travaux. Ces travaux innovants sont évolutifs et des améliorations et mises à jour auront lieu les prochaines années.",Basse,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://doc.agribalyse.fr/documentation/acces-donnees,https://ecolab.ademe.fr/agribalyse ,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Cyril Regnier,Guillaume Sevellec,FIni,Sans objet,Open Data,Open Data,Sarah DAYMIER,O,N,N,"CSV, XLS, JSON",N,O,O,N,N,N,"2,53 Mo",22,59,Data,O,O,N,09/05/2020,Annuelle,N,Sans objet,Ingrédient,N,Sans objet,Sans objet,O,O,N,Sans commentaire,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,,,,OK,,
93.81%,8,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,Base carbone,"La Base Carbone® est une base de données publique de facteurs d'émissions, nécessaires à la réalisation d’un bilan d’émissions de gaz à effet de serre (GES) et plus généralement tout exercice de comptabilité carbone.",Elevée,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://www.data.gouv.fr/fr/datasets/5f5605e63ee74d0034395703/,https://www.data.gouv.fr/fr/reuses/mon-convertisseur-co2-convertissez-tonnes-et-kg-de-co2-en-objets-tangibles-du-quotidien/,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Guillaume Flament,Konrad Skorupa,Fini,Sans objet,A analyser,Open Data,Sarah DAYMIER,O,N,N,XLS,O,O,N,N,N,N,"7,91 Mo",67,14983,Data,O,O,N,4/12/2020,Annuelle,N,Mondial,Element,N,Sans objet,Sans objet,O,O,N,Sans commentaire,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,,,,OK,,
